PassengerId,Name,Age,Sex,Pclass,Fare,Embarked,Survived,Age_Group,Fare_Category,Survival_Status
1,Alex Smith,20,female,1,452.12,S,0,Adult,Very High,Not Survived
2,Alex Brown,40,female,2,269.395,Q,0,Adult,High,Not Survived
3,Sara Taylor,72,female,2,269.395,S,1,Senior,High,Survived
4,Mary Taylor,40,female,3,269.395,S,1,Adult,High,Survived
5,Mary Brown,21,male,3,174.39,C,1,Adult,High,Survived
6,Sara Smith,40,female,2,280.04,Q,0,Adult,High,Not Survived
7,David Brown,3,male,1,405.42,S,1,Child,Very High,Survived
8,Alex Taylor,40,male,2,411.73,Q,0,Adult,Very High,Not Survived
9,Sophia Taylor,74,male,3,29.46,S,0,Senior,Low,Not Survived
10,Mary Brown,8,female,3,46.44,C,0,Child,Low,Not Survived
11,David Smith,40,female,1,22.08,S,0,Adult,Low,Not Survived
12,Emma Brown,40,female,3,269.395,C,0,Adult,High,Not Survived
13,Chris Brown,40,female,3,198.39,Q,0,Adult,High,Not Survived
14,Emma Smith,40,male,2,269.395,C,0,Adult,High,Not Survived
15,David Smith,40,female,3,252.02,Q,0,Adult,High,Not Survived
16,Emma Taylor,13,female,2,269.395,C,1,Teen,High,Survived
17,Chris Smith,18,male,1,22.94,S,0,Teen,Low,Not Survived
18,Alex Brown,40,female,2,493.09,S,0,Adult,Very High,Not Survived
19,Alex Brown,63,female,2,98.77,S,1,Senior,Medium,Survived
20,Mary Brown,40,male,1,39.3,Q,0,Adult,Low,Not Survived
21,John Taylor,25,female,3,269.395,C,0,Adult,High,Not Survived
22,Sara Taylor,54,female,3,269.395,S,0,Adult,High,Not Survived
23,Sophia Taylor,31,male,2,235.33,Q,0,Adult,High,Not Survived
24,Chris Smith,40,male,1,159.43,Q,1,Adult,High,Survived
25,David Brown,56,female,2,269.395,S,0,Adult,High,Not Survived
26,Emma Taylor,40,male,1,134.43,C,1,Adult,Medium,Survived
27,David Smith,40,female,3,326.96,S,1,Adult,Very High,Survived
28,Sara Smith,40,female,1,269.395,C,1,Adult,High,Survived
29,David Smith,78,male,3,235.96,C,1,Senior,High,Survived
30,John Smith,40,male,3,269.395,C,1,Adult,High,Survived
31,David Taylor,13,female,2,269.395,S,1,Teen,High,Survived
32,David Smith,62,female,1,269.395,C,0,Senior,High,Not Survived
33,Sara Smith,15,female,2,214.84,S,1,Teen,High,Survived
34,Sara Smith,67,female,2,269.395,C,0,Senior,High,Not Survived
35,Alex Taylor,16,female,1,269.395,C,0,Teen,High,Not Survived
36,Emma Brown,40,male,2,487.05,Q,0,Adult,Very High,Not Survived
37,Emma Taylor,40,female,1,46.76,S,1,Adult,Low,Survived
38,Alex Taylor,40,female,1,372.49,S,1,Adult,Very High,Survived
39,John Brown,17,female,2,304.88,C,0,Teen,Very High,Not Survived
40,Sara Smith,40,male,3,269.395,S,0,Adult,High,Not Survived
41,Emma Brown,32,female,2,233.12,S,1,Adult,High,Survived
42,Mary Brown,48,male,3,76.88,Q,1,Adult,Medium,Survived
43,Alex Taylor,38,female,2,269.395,S,1,Adult,High,Survived
44,Sara Taylor,40,female,3,269.395,Q,0,Adult,High,Not Survived
45,Sophia Brown,40,female,1,269.395,S,1,Adult,High,Survived
46,Chris Smith,40,male,3,47.98,Q,1,Adult,Low,Survived
47,Sara Smith,40,male,2,280.47,S,1,Adult,High,Survived
48,John Smith,42,female,2,269.395,Q,0,Adult,High,Not Survived
49,David Taylor,40,female,3,269.395,C,1,Adult,High,Survived
50,Emma Smith,6,female,2,458.07,S,0,Child,Very High,Not Survived
51,Sophia Taylor,40,female,1,269.395,Q,1,Adult,High,Survived
52,Mary Brown,77,female,1,269.395,S,0,Senior,High,Not Survived
53,Sophia Brown,40,female,1,269.395,Q,0,Adult,High,Not Survived
54,Sophia Brown,40,female,3,405.89,S,0,Adult,Very High,Not Survived
55,Emma Smith,72,female,2,276.48,Q,0,Senior,High,Not Survived
56,Alex Brown,40,female,2,478.51,S,0,Adult,Very High,Not Survived
57,Emma Taylor,40,female,3,217.82,Q,1,Adult,High,Survived
58,Mary Smith,40,female,2,269.395,Q,0,Adult,High,Not Survived
59,Chris Taylor,32,female,2,104.42,Q,1,Adult,Medium,Survived
60,Chris Smith,40,female,3,325.74,S,1,Adult,Very High,Survived
61,Mary Brown,40,male,1,269.395,S,1,Adult,High,Survived
62,John Brown,40,female,1,269.395,S,0,Adult,High,Not Survived
63,Sophia Taylor,40,male,2,281.89,S,1,Adult,High,Survived
64,Emma Brown,22,female,2,269.395,Q,1,Adult,High,Survived
65,Chris Taylor,4,female,1,457.85,Q,1,Child,Very High,Survived
66,Chris Smith,40,female,2,29.06,S,1,Adult,Low,Survived
67,John Brown,21,male,1,94.4,S,0,Adult,Medium,Not Survived
68,David Brown,40,female,1,260.04,S,1,Adult,High,Survived
69,Chris Taylor,13,female,2,361.67,Q,1,Teen,Very High,Survived
70,Mary Brown,57,male,2,269.395,S,1,Adult,High,Survived
71,Sophia Taylor,40,male,3,266.86,S,1,Adult,High,Survived
72,Emma Smith,62,female,1,269.395,S,0,Senior,High,Not Survived
73,Emma Smith,40,female,3,269.395,S,1,Adult,High,Survived
74,Alex Smith,14,male,2,394.73,S,1,Teen,Very High,Survived
75,John Smith,37,male,3,476.9,S,1,Adult,Very High,Survived
76,Sara Taylor,40,male,2,196.91,S,0,Adult,High,Not Survived
77,Chris Taylor,40,female,3,165.43,Q,1,Adult,High,Survived
78,Emma Smith,68,female,2,269.395,C,0,Senior,High,Not Survived
79,Sophia Taylor,3,male,2,269.395,S,0,Child,High,Not Survived
80,Alex Taylor,40,female,2,293.25,S,1,Adult,High,Survived
81,Chris Brown,45,female,3,269.395,S,1,Adult,High,Survived
82,Sara Smith,60,female,2,126.72,S,1,Adult,Medium,Survived
83,John Smith,61,female,1,269.395,C,1,Senior,High,Survived
84,David Taylor,40,female,2,269.395,S,1,Adult,High,Survived
85,Sara Brown,40,male,3,269.395,Q,0,Adult,High,Not Survived
86,Sara Smith,40,male,2,140.49,S,0,Adult,Medium,Not Survived
87,Sophia Brown,47,male,3,201.73,S,1,Adult,High,Survived
88,Alex Taylor,52,female,2,360.56,Q,0,Adult,Very High,Not Survived
89,Mary Brown,51,male,2,269.395,S,0,Adult,High,Not Survived
90,Emma Brown,40,male,2,304.78,S,1,Adult,Very High,Survived
91,Mary Smith,40,female,3,269.395,S,0,Adult,High,Not Survived
92,John Taylor,8,female,2,269.395,S,0,Child,High,Not Survived
93,Alex Smith,4,female,3,269.395,S,0,Child,High,Not Survived
94,Sophia Taylor,40,male,2,269.395,S,0,Adult,High,Not Survived
95,John Smith,40,female,1,281.65,Q,0,Adult,High,Not Survived
96,Mary Taylor,31,male,3,269.395,C,1,Adult,High,Survived
97,David Brown,40,male,3,333.01,C,0,Adult,Very High,Not Survived
98,Alex Smith,10,male,1,269.395,C,1,Child,High,Survived
99,Alex Brown,40,female,1,151.27,C,1,Adult,High,Survived
100,David Brown,64,female,1,269.395,Q,0,Senior,High,Not Survived
101,Emma Taylor,40,female,3,137.44,Q,1,Adult,Medium,Survived
102,David Smith,40,male,1,269.395,S,0,Adult,High,Not Survived
103,Chris Brown,40,male,3,269.395,Q,1,Adult,High,Survived
104,Mary Taylor,29,male,2,269.395,Q,0,Adult,High,Not Survived
105,David Brown,38,male,1,390.98,Q,1,Adult,Very High,Survived
106,John Smith,78,female,1,269.395,C,1,Senior,High,Survived
107,Chris Smith,40,female,2,269.395,C,1,Adult,High,Survived
108,John Taylor,40,female,2,269.395,S,0,Adult,High,Not Survived
109,Sara Smith,40,female,3,269.395,S,0,Adult,High,Not Survived
110,Sara Brown,40,male,3,269.395,C,1,Adult,High,Survived
111,Sophia Taylor,60,female,2,269.395,S,1,Adult,High,Survived
112,Chris Smith,74,male,3,199.89,Q,1,Senior,High,Survived
113,Alex Smith,72,male,3,269.395,S,1,Senior,High,Survived
114,Sara Taylor,40,male,3,269.395,S,1,Adult,High,Survived
115,Emma Brown,74,male,1,65.18,C,1,Senior,Medium,Survived
116,David Brown,40,female,2,339.86,S,0,Adult,Very High,Not Survived
117,Chris Taylor,40,female,2,269.395,S,0,Adult,High,Not Survived
118,John Brown,8,female,1,269.395,S,0,Child,High,Not Survived
119,Mary Brown,28,male,1,311.42,S,0,Adult,Very High,Not Survived
120,Sophia Taylor,40,female,1,457.41,S,0,Adult,Very High,Not Survived
121,Sophia Taylor,40,female,3,195.22,C,1,Adult,High,Survived
122,Alex Brown,47,female,1,269.395,S,0,Adult,High,Not Survived
123,Sara Brown,40,female,1,28.92,S,0,Adult,Low,Not Survived
124,Mary Smith,77,female,2,113.38,S,1,Senior,Medium,Survived
125,Mary Taylor,40,female,1,269.395,S,0,Adult,High,Not Survived
126,Emma Taylor,80,female,1,209.52,C,0,Senior,High,Not Survived
127,Alex Smith,40,male,3,269.395,S,0,Adult,High,Not Survived
128,Sara Brown,27,female,2,269.395,Q,1,Adult,High,Survived
129,Sophia Brown,40,female,3,171.85,Q,1,Adult,High,Survived
130,David Brown,40,female,2,491.2,S,1,Adult,Very High,Survived
131,Sophia Taylor,40,female,1,269.395,C,0,Adult,High,Not Survived
132,Sophia Brown,39,male,3,438.76,S,1,Adult,Very High,Survived
133,Chris Brown,40,female,1,394.7,S,1,Adult,Very High,Survived
134,Chris Brown,40,male,1,269.395,S,1,Adult,High,Survived
135,Chris Brown,40,male,1,269.395,S,0,Adult,High,Not Survived
136,John Smith,40,female,3,14.31,S,1,Adult,Low,Survived
137,Emma Smith,40,male,2,148.37,S,0,Adult,Medium,Not Survived
138,Chris Taylor,79,female,3,269.395,S,0,Senior,High,Not Survived
139,Sara Brown,60,female,3,393.45,S,0,Adult,Very High,Not Survived
140,Sara Brown,40,female,1,269.395,S,0,Adult,High,Not Survived
141,David Smith,40,male,2,269.395,C,0,Adult,High,Not Survived
142,Chris Taylor,15,female,2,9.93,C,1,Teen,Low,Survived
143,Alex Taylor,40,female,2,85.21,S,1,Adult,Medium,Survived
144,Mary Smith,40,male,3,230.72,S,1,Adult,High,Survived
145,Sara Smith,42,female,3,444.91,S,0,Adult,Very High,Not Survived
146,Alex Smith,40,female,2,126.45,S,0,Adult,Medium,Not Survived
147,Emma Brown,4,female,3,178.75,S,1,Child,High,Survived
148,Emma Smith,47,female,3,85.48,Q,0,Adult,Medium,Not Survived
149,Sara Smith,40,male,3,471.96,S,0,Adult,Very High,Not Survived
150,David Taylor,38,female,2,93.18,C,0,Adult,Medium,Not Survived
151,Sophia Smith,49,female,1,452.18,Q,1,Adult,Very High,Survived
152,Alex Brown,40,female,2,269.395,C,1,Adult,High,Survived
153,Emma Taylor,40,male,3,40.84,S,1,Adult,Low,Survived
154,Sophia Smith,50,female,1,269.395,Q,1,Adult,High,Survived
155,Chris Taylor,40,female,3,269.395,S,1,Adult,High,Survived
156,Sophia Smith,40,male,1,173.45,S,0,Adult,High,Not Survived
157,John Smith,40,female,2,120.07,S,0,Adult,Medium,Not Survived
158,Alex Smith,40,female,2,155.69,S,0,Adult,High,Not Survived
159,John Brown,40,female,2,269.395,C,1,Adult,High,Survived
160,Sara Taylor,11,female,2,284.39,Q,0,Child,High,Not Survived
161,David Brown,62,male,1,269.395,C,0,Senior,High,Not Survived
162,John Taylor,69,female,3,425.83,C,0,Senior,Very High,Not Survived
163,John Taylor,6,female,1,269.395,S,1,Child,High,Survived
164,Alex Brown,40,female,1,65.31,S,0,Adult,Medium,Not Survived
165,John Taylor,75,male,3,363.87,S,1,Senior,Very High,Survived
166,Mary Smith,40,female,2,269.395,S,0,Adult,High,Not Survived
167,Mary Brown,40,female,2,269.395,Q,1,Adult,High,Survived
168,Emma Brown,20,female,2,269.395,S,0,Adult,High,Not Survived
169,Mary Brown,40,male,2,122.34,Q,0,Adult,Medium,Not Survived
170,Chris Brown,40,male,1,269.395,Q,1,Adult,High,Survived
171,Chris Taylor,40,female,2,106.6,C,1,Adult,Medium,Survived
172,Mary Smith,63,female,1,269.395,Q,1,Senior,High,Survived
173,Chris Brown,40,female,2,269.395,C,0,Adult,High,Not Survived
174,Mary Brown,40,male,1,196.75,S,1,Adult,High,Survived
175,Sophia Brown,54,female,3,202.16,S,0,Adult,High,Not Survived
176,Alex Brown,71,male,1,269.395,S,0,Senior,High,Not Survived
177,Sophia Smith,40,male,1,269.395,S,0,Adult,High,Not Survived
178,Sophia Brown,21,male,2,78.98,Q,0,Adult,Medium,Not Survived
179,Sara Taylor,78,female,3,470.96,S,1,Senior,Very High,Survived
180,Sara Taylor,40,female,1,269.395,C,1,Adult,High,Survived
181,Alex Smith,76,female,1,291.12,S,0,Senior,High,Not Survived
182,David Taylor,17,female,2,269.395,Q,1,Teen,High,Survived
183,Sara Taylor,40,male,3,8.59,Q,0,Adult,Low,Not Survived
184,Emma Brown,47,female,2,295.79,S,0,Adult,High,Not Survived
185,Emma Taylor,65,female,3,455.64,Q,1,Senior,Very High,Survived
186,Mary Brown,64,female,3,443.41,S,1,Senior,Very High,Survived
187,Mary Brown,13,female,1,67.78,Q,0,Teen,Medium,Not Survived
188,Alex Brown,39,female,3,141.45,C,0,Adult,Medium,Not Survived
189,Emma Taylor,40,female,1,9.28,C,1,Adult,Low,Survived
190,Mary Brown,40,female,1,42.75,C,0,Adult,Low,Not Survived
191,Mary Brown,22,male,1,269.395,S,1,Adult,High,Survived
192,Mary Smith,40,female,3,269.395,S,0,Adult,High,Not Survived
193,Sara Taylor,66,male,1,177.21,Q,1,Senior,High,Survived
194,Mary Brown,40,female,3,269.395,C,1,Adult,High,Survived
195,Sophia Brown,40,male,2,269.395,S,1,Adult,High,Survived
196,John Taylor,15,male,3,269.395,C,1,Teen,High,Survived
197,Alex Taylor,67,male,1,269.395,C,0,Senior,High,Not Survived
198,Mary Brown,40,female,2,110.4,Q,0,Adult,Medium,Not Survived
199,Emma Smith,4,male,2,269.395,S,1,Child,High,Survived
200,John Brown,40,male,1,81.39,S,1,Adult,Medium,Survived
201,Sophia Brown,40,female,2,269.395,S,1,Adult,High,Survived
202,Emma Brown,67,male,1,269.395,S,1,Senior,High,Survived
203,Chris Taylor,12,female,2,269.395,S,0,Child,High,Not Survived
204,David Brown,67,female,3,269.395,Q,0,Senior,High,Not Survived
205,Sophia Taylor,40,female,2,269.395,C,1,Adult,High,Survived
206,Sophia Brown,40,female,2,269.395,S,1,Adult,High,Survived
207,David Brown,63,male,2,459.94,S,0,Senior,Very High,Not Survived
208,David Smith,40,female,2,269.395,Q,0,Adult,High,Not Survived
209,Sophia Taylor,52,male,1,189.11,C,1,Adult,High,Survived
210,Mary Smith,40,female,1,269.395,Q,1,Adult,High,Survived
211,Emma Smith,33,female,3,269.395,S,0,Adult,High,Not Survived
212,Mary Brown,40,male,1,269.395,C,0,Adult,High,Not Survived
213,Sophia Taylor,40,female,3,314.66,S,0,Adult,Very High,Not Survived
214,David Taylor,40,male,2,170.37,C,1,Adult,High,Survived
215,Sophia Smith,40,male,2,269.395,Q,1,Adult,High,Survived
216,Sara Taylor,40,female,1,269.395,C,1,Adult,High,Survived
217,Chris Smith,38,male,2,313.63,S,0,Adult,Very High,Not Survived
218,Chris Taylor,59,female,2,18.15,Q,1,Adult,Low,Survived
219,David Brown,77,male,3,158.59,C,0,Senior,High,Not Survived
220,Alex Brown,74,female,3,236.52,C,0,Senior,High,Not Survived
221,Mary Brown,40,male,3,269.395,C,1,Adult,High,Survived
222,Emma Taylor,35,female,2,457.96,Q,1,Adult,Very High,Survived
223,John Taylor,69,male,3,269.395,Q,0,Senior,High,Not Survived
224,Alex Brown,40,male,3,403.63,S,0,Adult,Very High,Not Survived
225,Alex Brown,40,female,2,269.395,Q,1,Adult,High,Survived
226,David Brown,40,female,3,269.395,Q,1,Adult,High,Survived
227,Emma Brown,65,female,1,336.6,Q,0,Senior,Very High,Not Survived
228,John Taylor,2,male,3,413.8,Q,1,Child,Very High,Survived
229,Emma Smith,40,female,3,286.15,Q,0,Adult,High,Not Survived
230,John Taylor,40,male,2,269.395,S,0,Adult,High,Not Survived
231,Chris Taylor,40,female,3,269.395,S,0,Adult,High,Not Survived
232,Sophia Brown,58,female,2,269.395,C,1,Adult,High,Survived
233,David Taylor,8,male,1,154.66,S,0,Child,High,Not Survived
234,David Taylor,46,female,2,269.395,S,0,Adult,High,Not Survived
235,Mary Smith,76,female,2,269.395,C,1,Senior,High,Survived
236,Alex Taylor,57,female,3,269.395,S,1,Adult,High,Survived
237,Mary Smith,33,female,1,269.395,S,1,Adult,High,Survived
238,Chris Taylor,40,female,2,269.395,C,0,Adult,High,Not Survived
239,Alex Taylor,12,male,2,409.41,Q,0,Child,Very High,Not Survived
240,Emma Smith,40,female,2,377.35,S,1,Adult,Very High,Survived
241,Chris Smith,40,male,2,338.41,C,1,Adult,Very High,Survived
242,Sara Smith,73,male,2,269.395,Q,0,Senior,High,Not Survived
243,Chris Taylor,55,female,1,93.95,S,1,Adult,Medium,Survived
244,Chris Taylor,44,female,1,269.395,S,0,Adult,High,Not Survived
245,Sophia Brown,40,female,3,301.58,S,0,Adult,Very High,Not Survived
246,Alex Taylor,40,female,2,269.395,S,0,Adult,High,Not Survived
247,Chris Taylor,40,female,3,137.78,Q,0,Adult,Medium,Not Survived
248,Alex Brown,40,female,1,269.395,Q,0,Adult,High,Not Survived
249,David Brown,68,male,1,269.395,S,1,Senior,High,Survived
250,Sara Taylor,52,male,3,491.76,S,0,Adult,Very High,Not Survived
251,Sophia Smith,10,male,3,450.37,Q,1,Child,Very High,Survived
252,John Taylor,78,male,1,469.1,Q,1,Senior,Very High,Survived
253,Sara Brown,35,female,3,78.79,C,1,Adult,Medium,Survived
254,Chris Brown,35,female,1,52.23,S,1,Adult,Medium,Survived
255,John Brown,40,female,2,105.38,S,1,Adult,Medium,Survived
256,Emma Brown,40,female,1,351.32,S,1,Adult,Very High,Survived
257,Alex Taylor,40,female,1,392.58,S,0,Adult,Very High,Not Survived
258,Sophia Brown,40,male,2,269.395,S,1,Adult,High,Survived
259,David Brown,40,male,1,336.56,Q,1,Adult,Very High,Survived
260,Emma Smith,12,female,3,132.14,Q,0,Child,Medium,Not Survived
261,Chris Smith,40,female,2,449.02,S,0,Adult,Very High,Not Survived
262,David Taylor,40,female,3,219.85,S,0,Adult,High,Not Survived
263,Sophia Brown,71,male,2,269.395,S,1,Senior,High,Survived
264,Mary Brown,40,female,3,364.29,S,1,Adult,Very High,Survived
265,Sara Brown,48,female,2,308.08,Q,1,Adult,Very High,Survived
266,John Brown,40,male,3,269.395,C,1,Adult,High,Survived
267,Chris Brown,1,female,2,269.395,C,0,Child,High,Not Survived
268,David Smith,40,female,3,269.395,C,1,Adult,High,Survived
269,Sara Smith,40,female,2,269.395,S,1,Adult,High,Survived
270,John Smith,40,female,2,269.395,S,1,Adult,High,Survived
271,Chris Smith,49,female,1,269.395,S,0,Adult,High,Not Survived
272,Mary Smith,40,male,2,269.395,Q,1,Adult,High,Survived
273,Mary Brown,12,female,2,269.395,S,1,Child,High,Survived
274,Sophia Taylor,40,female,2,108.61,S,1,Adult,Medium,Survived
275,Chris Taylor,40,female,1,269.395,S,0,Adult,High,Not Survived
276,Chris Taylor,40,female,3,269.395,C,0,Adult,High,Not Survived
277,Chris Brown,40,male,2,269.395,C,0,Adult,High,Not Survived
278,Emma Brown,73,female,3,249.5,Q,0,Senior,High,Not Survived
279,Sophia Smith,40,female,3,269.395,C,0,Adult,High,Not Survived
280,John Smith,43,female,3,128.4,Q,0,Adult,Medium,Not Survived
281,Alex Taylor,69,female,1,377.57,S,1,Senior,Very High,Survived
282,Alex Smith,8,male,2,162.46,S,0,Child,High,Not Survived
